id,precision,recall,fmeasure
1,0.23529412,0.11764706,0.15686275
2,0.0,0.0,NaN
3,0.0,0.0,NaN
4,0.25,0.22222222,0.23529413
5,0.0,0.0,NaN
6,0.23333333,0.29166666,0.25925928
7,0.0,0.0,NaN
8,0.0,0.0,NaN
9,0.1904762,0.4,0.2580645
10,1.0,0.28,0.4375
11,0.34615386,0.4090909,0.375
12,0.13333334,0.2857143,0.18181819
13,0.0,0.0,NaN
14,0.0,0.0,NaN
15,0.125,0.009615385,0.017857142
16,0.23076923,0.016666668,0.031088084
17,0.6,0.054545455,0.1
18,0.85714287,0.5714286,0.6857143
19,0.0,0.0,NaN
20,0.3529412,0.26086956,0.29999998
21,0.75,0.12,0.20689654
22,0.18181819,0.028571429,0.04938272
23,0.0,0.0,NaN
24,0.0,0.0,NaN
25,0.125,0.019607844,0.033898305
26,0.0,0.0,NaN
27,0.0,0.0,NaN
28,0.33333334,0.078431375,0.12698413
29,0.0952381,0.045454547,0.061538458
30,0.0,0.0,NaN
31,0.5263158,0.1724138,0.25974026
32,0.25,0.06666667,0.105263166
33,0.65217394,0.5263158,0.5825243
34,0.42424244,0.35897437,0.3888889
35,0.1388889,0.35714287,0.20000002
36,0.10714286,0.33333334,0.16216217
37,0.53846157,0.071428575,0.12612613
38,0.0,0.0,NaN
39,0.0,0.0,NaN
40,0.12,0.020547945,0.03508772
41,0.3,0.2,0.24000001
42,1.0,0.12765957,0.2264151
43,0.6,0.21428572,0.31578946
44,0.16666667,0.007142857,0.01369863
45,0.71428573,0.25,0.37037036
46,0.0,0.0,NaN
47,0.0,0.0,NaN
48,0.11111111,0.06666667,0.083333336
49,0.5714286,0.11111111,0.18604651
50,1.0,0.16,0.27586207
51,0.22222222,0.008298756,0.016
52,0.16666667,0.5,0.25
53,0.4,0.08695652,0.14285715
54,0.13043478,0.048387095,0.07058823
55,0.11111111,0.041666668,0.060606062
56,0.04347826,0.03125,0.036363635
57,0.42105263,0.15686275,0.22857144
58,0.25,0.021052632,0.03883495
59,0.23076923,0.020689655,0.037974685
60,0.0,0.0,NaN
61,0.18518518,0.071428575,0.10309278
62,0.2777778,0.034722224,0.0617284
63,0.125,0.025641026,0.042553194
64,0.3,0.24,0.26666668
65,0.4347826,0.10638298,0.17094018
66,0.11111111,0.031746034,0.049382716
67,0.0,0.0,NaN
68,0.0,0.0,NaN
69,0.6,0.2,0.3
70,0.25,0.05882353,0.0952381
71,0.0,0.0,NaN
72,0.45454547,0.3846154,0.41666666
73,0.0,0.0,NaN
74,0.0,0.0,NaN
75,0.4,0.0952381,0.15384616
76,0.0,0.0,NaN
77,0.2857143,0.024390243,0.044943817
78,0.27272728,0.038961038,0.06818182
79,0.125,0.023255814,0.039215688
80,0.0,0.0,NaN
81,0.5,0.035714287,0.06666667
82,0.05882353,0.016129032,0.025316456
83,0.083333336,0.03125,0.045454547
84,0.0,0.0,NaN
85,0.041666668,0.032258064,0.036363635
86,0.20689656,0.12765957,0.15789475
87,0.0,0.0,NaN
88,0.14285715,0.14285715,0.14285715
89,0.3888889,0.4117647,0.40000004
90,0.7368421,0.5,0.59574467
91,0.5,0.009868421,0.019354837
92,0.125,0.009259259,0.01724138
93,0.0,0.0,NaN
94,0.0,0.0,NaN
95,0.0,0.0,NaN
96,1.0,0.083333336,0.15384616
97,0.6666667,0.36363637,0.47058827
98,1.0,0.06666667,0.125
99,0.0,0.0,NaN
